Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,311.8890075683594,311.8890075683594,311.8890075683594,311.8890075683594,293.7562255859375,0
2017-01-04,311.54998779296875,311.54998779296875,311.0,311.0,292.9189147949219,1615
2017-01-05,308.1889953613281,308.1889953613281,308.1889953613281,308.1889953613281,290.2713623046875,0
2017-01-06,309.2799987792969,309.2799987792969,309.2799987792969,309.2799987792969,291.2989501953125,250
2017-01-09,310.0,310.4100036621094,310.0,310.4100036621094,292.3632507324219,303
2017-01-10,308.8299865722656,308.8299865722656,307.8900146484375,307.8900146484375,289.98974609375,48
2017-01-11,307.4599914550781,307.4599914550781,306.54998779296875,306.54998779296875,288.72760009765625,999
2017-01-12,305.0,305.0,303.7799987792969,303.7799987792969,286.1186828613281,204
2017-01-13,303.0,303.0299987792969,303.0,303.0299987792969,285.4123229980469,140
2017-01-16,303.6600036621094,303.69000244140625,303.6600036621094,303.69000244140625,286.0339660644531,26
2017-01-17,303.69000244140625,303.69000244140625,303.5299987792969,303.5299987792969,285.88323974609375,157
2017-01-18,299.78399658203125,299.78399658203125,299.78399658203125,299.78399658203125,282.3550109863281,0
2017-01-19,299.3999938964844,299.3999938964844,299.3999938964844,299.3999938964844,281.9932556152344,0
2017-01-20,300.37701416015625,300.37701416015625,300.37701416015625,300.37701416015625,282.9135437011719,0
2017-01-23,300.510009765625,300.510009765625,298.5,298.5,281.1456298828125,99
2017-01-24,299.9930114746094,299.9930114746094,299.9930114746094,299.9930114746094,282.5518798828125,0
2017-01-25,303.6610107421875,303.6610107421875,303.6610107421875,303.6610107421875,286.00665283203125,0
2017-01-27,304.7200012207031,305.0299987792969,304.7200012207031,305.0299987792969,287.2960510253906,323
2017-01-30,301.2869873046875,301.2869873046875,301.2869873046875,301.2869873046875,283.7706298828125,0
2017-01-31,301.3999938964844,301.3999938964844,300.3500061035156,301.0,283.5003356933594,140
2017-02-01,301.01800537109375,301.01800537109375,301.01800537109375,301.01800537109375,283.51727294921875,0
2017-02-02,297.8599853515625,297.8599853515625,297.8599853515625,297.8599853515625,280.5428466796875,30
2017-02-03,298.2099914550781,298.2099914550781,298.2099914550781,298.2099914550781,280.8725280761719,50
2017-02-06,299.7239990234375,299.7239990234375,299.7239990234375,299.7239990234375,282.2984619140625,0
2017-02-07,299.9700012207031,299.9700012207031,299.0,299.0,281.6166076660156,22
2017-02-08,300.0,300.0,299.7900085449219,299.7900085449219,282.36065673828125,235
2017-02-09,301.4200134277344,301.4200134277344,301.4200134277344,301.4200134277344,283.8959045410156,7
2017-02-10,302.69000244140625,302.69000244140625,302.69000244140625,302.69000244140625,285.092041015625,7
2017-02-13,301.1499938964844,303.2900085449219,301.1099853515625,303.2900085449219,285.6571960449219,464
2017-02-14,306.50299072265625,306.50299072265625,306.50299072265625,306.50299072265625,288.683349609375,0
2017-02-15,303.9700012207031,304.1600036621094,303.9700012207031,304.1600036621094,286.4765625,200
2017-02-16,304.1600036621094,304.1600036621094,304.1600036621094,304.1600036621094,286.4765625,102
2017-02-17,305.7300109863281,305.7300109863281,305.30999755859375,305.30999755859375,287.5596923828125,28
2017-02-21,306.92999267578125,306.92999267578125,306.6600036621094,306.6600036621094,288.8312683105469,494
2017-02-22,307.135009765625,307.44000244140625,307.1000061035156,307.44000244140625,289.56591796875,902
2017-02-23,307.1000061035156,307.19000244140625,306.79998779296875,306.79998779296875,288.9631042480469,531
2017-02-24,306.9700012207031,306.9700012207031,306.9700012207031,306.9700012207031,289.1232604980469,8
2017-02-27,308.0,308.0,308.0,308.0,290.0933532714844,75
2017-02-28,308.5,308.7900085449219,308.5,308.7900085449219,290.8374328613281,94
2017-03-01,308.80999755859375,308.80999755859375,308.80999755859375,308.80999755859375,290.85626220703125,90
2017-03-02,314.44000244140625,314.44000244140625,314.44000244140625,314.44000244140625,296.158935546875,0
2017-03-03,315.3110046386719,315.3110046386719,315.3110046386719,315.3110046386719,296.97930908203125,0
2017-03-06,313.0,313.0,313.0,313.0,294.8026428222656,263
2017-03-07,312.4800109863281,312.7699890136719,312.0,312.0,293.86077880859375,390
2017-03-08,311.3800048828125,311.7099914550781,311.3800048828125,311.7099914550781,293.58758544921875,29
2017-03-09,314.25,314.510009765625,314.2300109863281,314.45001220703125,296.1683349609375,4170
2017-03-10,315.8999938964844,316.2300109863281,315.8999938964844,316.2300109863281,297.8449401855469,122
2017-03-13,316.1300048828125,316.1300048828125,314.9800109863281,314.9800109863281,296.6675720214844,165
2017-03-14,314.5400085449219,314.5400085449219,314.5400085449219,314.5400085449219,296.25311279296875,6
2017-03-15,314.6579895019531,314.6579895019531,314.6579895019531,314.6579895019531,296.3642272949219,0
2017-03-16,311.1600036621094,311.1600036621094,309.6300048828125,309.6300048828125,291.6285400390625,41
2017-03-17,310.6700134277344,310.6700134277344,309.6300048828125,309.6600036621094,292.89593505859375,2060
2017-03-20,306.1210021972656,306.1210021972656,306.1210021972656,306.1210021972656,289.5484924316406,0
2017-03-21,302.9739990234375,302.9739990234375,302.9739990234375,302.9739990234375,286.5718994140625,0
2017-03-22,304.5,304.5,304.5,304.5,288.0152893066406,291
2017-03-23,306.17401123046875,306.17401123046875,306.17401123046875,306.17401123046875,289.5987243652344,0
2017-03-24,306.95599365234375,306.95599365234375,306.95599365234375,306.95599365234375,290.3382873535156,0
2017-03-27,306.7439880371094,306.7439880371094,306.7439880371094,306.7439880371094,290.1378173828125,0
2017-03-28,306.1199951171875,307.1499938964844,306.1199951171875,307.1499938964844,290.5218200683594,24
2017-03-29,307.54901123046875,307.54901123046875,307.54901123046875,307.54901123046875,290.8992614746094,0
2017-03-30,307.8760070800781,307.8760070800781,307.8760070800781,307.8760070800781,291.2085876464844,0
2017-03-31,309.01300048828125,309.01300048828125,309.01300048828125,309.01300048828125,292.28399658203125,0
2017-04-03,309.69500732421875,309.69500732421875,309.69500732421875,309.69500732421875,292.9290771484375,0
2017-04-04,309.70001220703125,309.7200012207031,309.70001220703125,309.7200012207031,292.9527282714844,37
2017-04-05,310.6600036621094,310.6600036621094,310.6400146484375,310.6400146484375,293.8229675292969,80
2017-04-06,311.635986328125,311.635986328125,311.635986328125,311.635986328125,294.76495361328125,0
2017-04-07,312.0,312.0,312.0,312.0,295.1092834472656,10
2017-04-10,314.0,314.0,314.0,314.0,297.00103759765625,83
2017-04-11,314.3039855957031,314.3039855957031,314.3039855957031,314.3039855957031,297.28851318359375,0
2017-04-12,312.5840148925781,312.5840148925781,312.5840148925781,312.5840148925781,295.66168212890625,0
2017-04-13,308.9599914550781,308.9599914550781,308.9599914550781,308.9599914550781,292.2338562011719,79
2017-04-18,309.0,309.9700012207031,309.0,309.9700012207031,293.1891784667969,71
2017-04-19,310.0299987792969,310.0299987792969,310.0299987792969,310.0299987792969,293.2459716796875,50
2017-04-20,313.67999267578125,313.67999267578125,311.2300109863281,311.2300109863281,294.38092041015625,170
2017-04-21,312.20001220703125,312.20001220703125,312.20001220703125,312.20001220703125,295.2984313964844,10
2017-04-24,313.760009765625,313.760009765625,313.3999938964844,313.5,296.528076171875,129
